date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2021-02-02,20.1722,6.649022,123.92818873912262,125.50031024531192,124.3991613327106
2021-02-03,20.1953,6.651153,123.94278472579634,125.51582487255403,124.41384734481238
2021-02-04,20.4435,6.653283,123.95738243155294,125.531332004062,124.42853509067947
2021-02-05,20.1388,6.655415,123.97198185659491,125.5468368670552,124.44322457051658
2021-02-08,20.1227,6.661814,124.01579044945788,125.59333364588001,124.487303415895
2021-02-09,20.0913,6.663948,124.03039675366638,125.60883221212227,124.50199983365937
2021-02-10,20.0588,6.666083,124.044832513733,125.62433094636356,124.51669798641751
2021-02-11,19.9535,6.668293,124.05926995396169,125.63982984819407,124.53139787437424
2021-02-12,19.9622,6.670504,124.07370907454798,125.65535683716614,124.5460994977344
2021-02-15,19.9518,6.677141,124.1170365204085,125.70033425475732,124.58761947722301
2021-02-16,20.2023,6.679355,124.1314823643813,125.71532227377924,124.60146254605382
2021-02-17,20.2257,6.681569,124.14530923227798,125.73030858782195,124.6153071530034
2021-02-18,20.4165,6.683784,124.15913764033412,125.74528795708675,124.62915329824263
2021-02-19,20.4222,6.686,124.17296758872128,125.76026387158998,124.64300098194244
2021-02-22,20.6783,6.692653,124.21446667758464,125.80519183497012,124.68455326551486
2021-02-23,20.5833,6.694871,124.22830278901178,125.8201748838588,124.69840710476659
2021-02-24,20.4752,6.697091,124.24217494948991,125.83515517368065,124.71226248333377
2021-02-25,20.8523,6.699312,124.25604865902594,125.85012641126742,124.72611940138749
2021-02-26,20.939,6.700486,124.26992391779285,125.86509733255511,124.73997785909876
2021-03-01,20.6123,6.704009,124.3115589912091,125.91000714413131,124.78156247188879
2021-03-02,20.6903,6.705184,124.32544044862979,125.92498518873118,124.79542708994123
2021-03-03,20.8957,6.70636,124.33946159552482,125.93996081759475,124.80929324850678
2021-03-04,20.8498,6.707535,124.35348432369366,125.95494242543369,124.82316094775663
2021-03-05,21.2635,6.708711,124.36750863331463,125.96992581545972,124.83703018786194
2021-03-08,21.4177,6.712239,124.40959105267386,126.0148814307849,124.87864715502288
2021-03-09,21.2575,6.713415,124.42362168988703,126.02988070208853,124.89252256026234
2021-03-10,20.9853,6.714592,124.43761934732713,126.04487825789208,124.90639950721348
2021-03-11,20.7133,6.715976,124.4516185795037,126.05987934902807,124.92027799604762
2021-03-12,20.7637,6.717361,124.4656193865939,126.07488222550228,124.93415802693606
2021-03-16,20.5753,6.722903,124.52163836763471,126.13489056904865,124.9896935744601
2021-03-17,20.6828,6.72429,124.53564705195106,126.14989536540592,125.0035813181906
2021-03-18,20.4415,6.725676,124.54965731224439,126.16489739129588,125.01747060500375
2021-03-19,20.4823,6.727063,124.56366914869201,126.17990120126011,125.03136143507096
2021-03-22,20.5788,6.731225,124.60571411673386,126.22496330419712,125.07304318651202
2021-03-23,20.6408,6.732613,124.61973225957199,126.23998302295563,125.08694019131053
2021-03-24,20.7882,6.734001,124.6336827462666,126.25500032093609,125.1008387402207
2021-03-25,20.7662,6.73539,124.6476347946407,126.27001940534927,125.11473883341407
2021-03-26,20.5677,6.737617,124.6615884048691,126.28504203015795,125.12864047106223
2021-03-29,20.6047,6.744301,124.70345860842859,126.33015431311263,125.17035465245168
2021-03-30,20.6025,6.74653,124.7175916670709,126.34519111064687,125.1842624696353
2021-03-31,20.44,6.748761,124.73172632745985,126.36023847194929,125.19817183213193
2021-04-05,20.2483,6.759923,124.8024236619586,126.43550216421444,125.26774183032063
2021-04-06,20.1612,6.762158,124.81656793664028,126.45056203736111,125.28166046830178
2021-04-07,20.1765,6.764394,124.83067914307088,126.46562546056384,125.29558065279826
2021-04-08,20.089,6.76663,124.84479194485178,126.4806871652628,125.30950238398191
2021-04-09,20.163,6.768867,124.85890634216332,126.49575066376894,125.32342566202459
2021-04-12,20.095,6.773632,124.90125910908576,126.54096246809092,125.36520477902555
2021-04-13,20.0735,6.774896,124.91537989032393,126.5560331452182,125.37913424622322
2021-04-14,20.0583,6.77616,124.92950226799486,126.57110913266662,125.39306526113947
2021-04-15,19.927,6.777425,124.94362624227904,126.58617461051756,125.40699782394627
2021-04-16,19.9158,6.77869,124.95775181335698,126.60123520064184,125.4209319348156
2021-04-19,19.8145,6.782486,125.00013810915871,126.64641083868891,125.46274355751899
2021-04-20,19.8877,6.783751,125.01427006921715,126.66147648464494,125.47668386235871
2021-04-21,19.874,6.785017,125.02836890078608,126.67654533013481,125.4906257161212
2021-04-22,19.8865,6.786284,125.04246932238989,126.69160928265033,125.50456911897857
2021-04-23,19.8695,6.78755,125.05657133420793,126.70667502652087,125.5185140711029
2021-04-26,19.8362,6.790371,125.09888691274082,126.75189885049511,125.56035822479932
2021-04-27,19.9785,6.790658,125.11299528720932,126.76697176380007,125.57430937571318
2021-04-28,19.9712,6.790944,125.12710525278894,126.78204646952564,125.58826207675496
2021-04-29,20.0978,6.791231,125.14121680965913,126.79712296788497,125.60221632809683
2021-04-30,20.1822,6.791518,125.15532995799934,126.81220830337583,125.61617212991108
2021-05-03,20.1902,6.792379,125.19767895363505,126.85749621951649,125.65804883991085
2021-05-04,20.2235,6.792666,125.21179846965038,126.87259649014983,125.67201084533752
2021-05-05,20.2077,6.792953,125.22595435908848,126.88770137760974,125.68597440209813
2021-05-06,20.1838,6.793241,125.24011184892852,126.90280101407367,125.69993951036503
2021-05-07,19.9223,6.793528,125.25427093935141,126.917901389871,125.71390617031062
2021-05-10,19.886,6.794389,125.29675781592711,126.96321329903155,125.75581546194378
2021-05-11,19.8848,6.795503,125.31092331049129,126.97832544817007,125.76978833032845
2021-05-12,20.094,6.796618,125.32505559795355,126.99344821401337,125.78376275125405
2021-05-13,20.0495,6.797733,125.33918947922378,127.00857172265734,125.79773872489308
2021-05-14,19.8487,6.798848,125.35332495448172,127.02370585238285,125.81171625141808
